order_id,order_date,year,month,month_name,day_of_week,quarter,user_id,name,city,membership,restaurant_id,restaurant_name,cuisine,rating,total_amount
1,2023-02-18,2023,2,February,Saturday,1,2508,User_2508,Hyderabad,Regular,450,Restaurant_450,Mexican,3.2,842.97
2,2023-01-18,2023,1,January,Wednesday,1,2693,User_2693,Pune,Regular,309,Restaurant_309,Indian,4.5,546.68
3,2023-07-15,2023,7,July,Saturday,3,2084,User_2084,Chennai,Gold,107,Restaurant_107,Mexican,4.0,163.93
4,2023-10-04,2023,10,October,Wednesday,4,319,User_319,Bangalore,Gold,224,Restaurant_224,Chinese,4.8,1155.97
5,2023-12-25,2023,12,December,Monday,4,1064,User_1064,Pune,Regular,293,Restaurant_293,Italian,3.0,1321.91
6,2023-07-12,2023,7,July,Wednesday,3,2933,User_2933,Chennai,Regular,499,Restaurant_499,Mexican,4.9,1497.22
7,2023-05-30,2023,5,May,Tuesday,2,970,User_970,Bangalore,Regular,35,Restaurant_35,Chinese,3.9,129.21
8,2023-11-07,2023,11,November,Tuesday,4,891,User_891,Pune,Regular,57,Restaurant_57,Mexican,4.4,269.19
9,2023-12-05,2023,12,December,Tuesday,4,364,User_364,Chennai,Gold,7,Restaurant_7,Italian,3.2,953.3
10,2023-12-30,2023,12,December,Saturday,4,2972,User_2972,Bangalore,Regular,183,Restaurant_183,Chinese,3.7,351.41
11,2023-12-10,2023,12,December,Sunday,4,924,User_924,Chennai,Regular,235,Restaurant_235,Italian,4.5,523.82
12,2023-10-27,2023,10,October,Friday,4,884,User_884,Pune,Gold,423,Restaurant_423,Indian,3.2,1484.65
13,2023-08-11,2023,8,August,Friday,3,1958,User_1958,Chennai,Regular,244,Restaurant_244,Italian,4.3,216.59
14,2023-09-24,2023,9,September,Sunday,3,364,User_364,Chennai,Gold,112,Restaurant_112,Chinese,3.2,898.24
15,2023-07-17,2023,7,July,Monday,3,1733,User_1733,Pune,Regular,383,Restaurant_383,Indian,3.1,1098.41
16,2023-07-17,2023,7,July,Monday,3,1321,User_1321,Pune,Gold,149,Restaurant_149,Mexican,3.6,475.74
